,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
0,2013081805991,2014-01-13 00:00:00,2012-12-21 00:00:00,HPN,"Westchester County, White Plains",USAir  ,Personal Injury,Checked Baggage,Audio/Video; Jewelry & Watches,0.0,Deny
1,2014080215586,2014-07-17 00:00:00,2014-06-30 18:38:00,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0.0,Deny
2,2014010710583,2014-01-07 00:00:00,2013-12-27 22:00:00,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Food & Drink,50.0,Approve in Full
3,2014010910683,2014-01-07 00:00:00,2014-01-02 00:00:00,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
4,2014011310783,2014-01-09 00:00:00,2014-01-07 00:00:00,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0.0,Deny
5,2014011610883,2014-01-13 00:00:00,2013-12-15 14:00:00,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
6,2014012110966,2014-01-14 00:00:00,2013-03-24 00:00:00,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,0.0,-
7,2014012311066,2014-01-14 00:00:00,2013-12-23 06:45:00,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,198.33,Settle
8,2014012711166,2014-01-23 00:00:00,2013-12-29 14:51:00,PVD,"TF Green Airport, Providence",USAir  ,Property Damage,Checked Baggage,Audio/Video,89.99,Settle
9,2014013011266,2014-01-27 00:00:00,2014-01-01 06:10:00,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.0,Deny
10,2014020311366,2014-01-29 00:00:00,2014-01-23 10:15:00,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,210.0,Settle
11,2014020511466,2014-02-01 00:00:00,2013-12-15 00:00:00,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,-
12,2014020711566,2014-02-04 00:00:00,2014-01-14 05:09:00,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
13,2014021311666,2014-01-25 00:00:00,2014-01-24 17:30:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,Deny
14,2014021911766,2014-02-13 00:00:00,2014-02-02 00:00:00,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,45.0,Approve in Full
15,2014022111866,2014-02-11 00:00:00,2014-01-19 10:45:00,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
16,2014022511966,2014-02-25 00:00:00,2014-02-15 16:30:00,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Travel Accessories,40.0,Approve in Full
17,2014022712066,2014-02-24 00:00:00,2014-01-02 07:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,93.0,Approve in Full
18,2014030312166,2014-02-25 00:00:00,2014-02-15 13:30:00,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
19,2014030712266,2014-03-06 00:00:00,2014-02-28 22:15:00,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,0.0,-
20,2014031112357,2014-03-07 00:00:00,2014-03-04 00:00:00,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other,344.0,Approve in Full
21,2014031312457,2014-03-10 00:00:00,2012-03-15 00:00:00,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,50.0,Approve in Full
22,2014031712557,2014-03-17 00:00:00,2013-10-24 09:00:00,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,0.0,-
23,2014032112657,2014-03-19 00:00:00,2014-01-20 19:15:00,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Clothing,280.57,Settle
24,2014032712757,2014-03-22 00:00:00,2014-02-27 06:15:00,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,80.0,Approve in Full
25,2014033112857,2014-03-25 00:00:00,2014-03-06 00:00:00,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checkpoint,Medical/Science,93.21,Approve in Full
26,2014040312957,2014-04-01 00:00:00,2013-11-02 07:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,52.98,Approve in Full
27,2014040813057,2014-04-02 00:00:00,2014-03-10 00:00:00,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
28,2014041413219,2014-04-10 00:00:00,2014-04-04 00:00:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,159.2,Approve in Full
29,2014041713319,2014-04-16 00:00:00,2014-04-13 15:15:00,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,587.11,Settle
30,2014042113419,2014-04-21 00:00:00,2014-04-03 00:00:00,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
31,2014042513519,2014-04-21 00:00:00,2014-03-16 00:00:00,F,Foreign airport,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
32,2014043013619,2014-04-25 00:00:00,2014-04-11 00:00:00,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,85.0,Approve in Full
33,2014050613719,2014-05-01 00:00:00,2014-04-03 00:00:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,208.59,Approve in Full
34,2014050913819,2014-04-28 00:00:00,2014-03-12 15:30:00,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Clothing,140.39,Settle
35,2014051413919,2014-04-21 00:00:00,2013-09-06 00:00:00,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,Other,1931.99,Settle
36,2014051914019,2014-05-12 00:00:00,2014-04-18 15:15:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency,0.0,-
37,2014052114119,2014-05-19 00:00:00,2014-04-29 04:53:00,DSM,Des Moines International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,0.0,-
38,2014052714207,2014-05-27 00:00:00,2014-05-06 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,0.0,Deny
39,2014053014307,2014-05-21 00:00:00,2013-12-30 00:00:00,TPA,Tampa International,UAL  ,Property Damage,Checkpoint,Computer & Accessories,321.0,Settle
40,2014060314389,2014-05-30 00:00:00,2014-02-25 13:15:00,EWR,Newark International Airport,-,Personal Injury,Checkpoint,-,0.0,-
41,2014060914489,2014-06-04 00:00:00,2014-05-30 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,0.0,Deny
42,2014061214589,2014-06-06 00:00:00,2014-05-27 12:50:00,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,175.0,Settle
43,2014061714689,2014-06-09 00:00:00,2014-06-03 14:30:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,265.34,Settle
44,2014062314789,2014-06-13 00:00:00,2014-05-19 20:30:00,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,170.0,Settle
45,2014062514889,2014-06-23 00:00:00,2014-06-10 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,0.0,-
46,2014070214989,2014-06-24 00:00:00,2014-06-22 06:22:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0.0,Deny
